time,j0,j1,j2,j3,j4,j5,jaw
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.11,0.0800,-0.0800,0.0007,-0.4000,0.4000,0.4000,0.0000
0.20,0.4800,-0.4643,0.0040,-2.4000,2.4000,2.4000,0.0000
0.30,0.8800,-0.7535,0.0073,-4.4000,4.4000,4.4000,0.0000
0.40,1.2800,-0.8981,0.0107,-6.4000,6.4000,6.4000,0.0000
0.50,1.6493,-0.9704,0.0140,-8.4000,8.4000,8.4000,0.0000
0.60,1.8713,-1.0065,0.0173,-10.4000,10.4000,10.4000,0.0000
0.70,1.9823,-1.0246,0.0207,-12.4000,12.4000,12.4000,0.0000
0.80,2.0378,-1.0336,0.0240,-14.4000,14.4000,14.4000,0.0000
0.90,2.0656,-1.0381,0.0273,-16.4000,16.4000,16.4000,0.0000
1.00,2.0794,-1.0404,0.0307,-18.4000,18.4000,18.4000,0.0000
1.10,2.0864,-1.0415,0.0340,-20.4000,20.4000,20.4000,0.0000
1.20,2.0898,-1.0421,0.0373,-22.4000,22.4000,22.4000,0.0000
1.30,2.0916,-1.0424,0.0407,-24.4000,24.4000,24.4000,0.0000
1.40,2.0925,-1.0425,0.0440,-26.4000,26.4000,26.4000,0.0000
1.50,2.0929,-1.0426,0.0473,-28.4000,28.4000,28.4000,0.0000
1.60,2.0931,-1.0426,0.0507,-30.4000,30.4000,30.4000,0.0000
1.70,2.0932,-1.0426,0.0540,-32.4000,32.4000,32.4000,0.0000
1.80,2.0933,-1.0427,0.0573,-34.4000,34.4000,34.4000,0.0000
1.90,2.0933,-1.0427,0.0607,-36.4000,36.4000,36.4000,0.0000
2.00,2.0933,-1.0427,0.0640,-38.4000,38.4000,38.4000,0.0000
2.10,2.0933,-1.0427,0.0673,-40.4000,40.4000,40.4000,0.0000
2.20,2.0933,-1.0427,0.0707,-42.4000,42.4000,42.4000,0.0000
2.30,2.0933,-1.0427,0.0740,-44.4000,44.4000,43.6000,0.0000
2.40,2.0933,-1.0427,0.0773,-46.4000,46.4000,42.4000,0.0000
2.50,2.0933,-1.0427,0.0807,-48.4000,48.4000,43.6000,0.0000
2.60,2.0933,-1.0427,0.0840,-50.4001,50.4001,41.6000,0.0000
2.70,2.0933,-1.0427,0.0873,-52.4001,52.4001,40.4000,0.0000
2.80,2.0933,-1.0427,0.0907,-54.4001,54.4001,41.6000,0.0000
2.90,2.0933,-1.0427,0.0940,-56.4001,55.6001,39.6000,0.0000
3.00,2.0933,-1.0427,0.0973,-58.4001,53.6001,37.6000,0.0000
3.10,2.0933,-1.0427,0.1007,-60.4001,52.4001,35.6000,0.0000
3.20,2.0933,-1.0427,0.1040,-62.4001,53.6001,33.6000,0.0000
3.30,2.0933,-1.0427,0.1073,-64.4001,51.6001,31.6000,0.0000
3.40,2.0933,-1.0427,0.1107,-66.4001,49.6000,29.6000,0.0000
3.50,2.0933,-1.0427,0.1140,-68.4001,48.4000,27.6000,0.0000
3.60,2.0933,-1.0427,0.1173,-70.4001,49.6000,25.6000,0.0000
3.70,2.0933,-1.0427,0.1207,-72.4001,47.6000,23.6000,0.0000
3.80,2.0933,-1.0427,0.1240,-74.4001,46.4000,21.6000,0.0000
3.90,2.0933,-1.0427,0.1273,-76.4002,47.6000,20.4000,0.0000
4.00,2.0933,-1.0427,0.1307,-78.4002,45.6000,21.6000,0.0000
4.10,2.0933,-1.0427,0.1340,-80.4002,44.4000,19.6000,0.0000
4.20,2.0933,-1.0427,0.1373,-82.4002,45.6000,17.6000,0.0000
4.30,2.0933,-1.0427,0.1407,-84.4002,43.6000,15.6000,0.0000
4.40,2.0933,-1.0427,0.1440,-86.4002,42.4000,13.6000,0.0000
4.50,2.0933,-1.0427,0.1473,-88.4002,43.6000,11.6000,0.0000
4.60,2.1733,-0.9627,0.1501,-89.6002,41.6000,9.6000,0.0000
4.70,2.5733,-0.5627,0.1503,-87.6002,39.6000,7.6000,0.0000
4.80,2.9733,-0.1627,0.1503,-85.6002,37.6000,5.6000,0.0000
4.90,3.3733,0.2373,0.1502,-83.6002,35.6000,3.6000,0.0000
5.00,3.7732,0.6373,0.1500,-81.6002,33.6000,1.6000,0.0000
5.10,4.1329,1.0373,0.1498,-79.6002,31.6000,-0.4000,0.0000
5.20,4.3127,1.4373,0.1496,-77.6002,29.6000,-2.4000,0.0000
5.30,4.4026,1.8373,0.1494,-75.6001,27.6000,-4.4000,0.0000
