time,j0,j1,j2,j3,j4,j5,jaw
4.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.61,-0.0800,-0.0800,0.0007,-0.0001,0.4000,0.4000,0
4.61,-0.4800,-0.4800,0.0040,-0.0001,2.4000,2.4000,0
4.61,-0.8800,-0.8800,0.0073,0.0225,4.4000,4.4000,0
4.61,-1.2626,-1.2800,0.0107,0.1240,6.4000,6.4000,0
4.61,-1.5444,-1.6800,0.0140,0.4787,8.4000,8.4000,0
4.61,-1.6854,-2.0800,0.0173,1.2830,9.6000,9.9094,0
4.61,-1.7558,-2.4800,0.0207,0.3152,8.4000,9.9468,0
4.61,-1.7911,-2.8800,0.0240,2.3152,10.4000,11.1468,0
4.61,-1.8088,-3.2800,0.0273,3.5152,11.6000,9.9468,0
4.61,-1.8176,-3.6800,0.0307,2.3152,10.4000,11.1468,0
4.61,-1.8221,-4.0800,0.0340,3.5152,11.6000,9.9468,0
4.61,-1.8243,-4.4577,0.0373,2.3152,10.4000,11.1468,0
4.61,-1.8255,-4.7173,0.0407,3.5152,12.4000,9.9468,0
4.61,-1.8260,-4.8471,0.0440,2.3152,13.6000,11.1468,0
4.61,-1.8264,-4.9118,0.0473,3.5152,12.4000,9.9468,0
4.61,-1.8265,-4.9441,0.0507,2.3152,13.6000,11.1468,0
4.61,-1.8267,-4.9672,0.0567,1.9152,14.0000,11.5468,0
4.61,-1.8267,-4.9681,0.0573,2.3152,13.6000,11.1468,0
4.61,-1.8268,-4.9720,0.0607,3.5152,12.4000,9.9468,0
4.61,-1.8269,-4.9738,0.0640,2.3152,13.6000,11.1468,0
4.61,-1.8269,-4.9746,0.0673,3.5152,12.4000,9.9468,0
4.61,-1.8269,-4.9749,0.0707,2.3152,13.6000,11.1468,0
4.61,-1.8270,-4.9750,0.0740,3.5152,12.4000,9.9468,0
4.61,-1.8270,-4.9749,0.0773,2.3152,13.6000,11.1468,0
4.61,-1.8271,-4.9748,0.0807,3.5152,12.4000,9.9468,0
4.61,-1.8271,-4.9746,0.0840,2.3152,13.6000,11.1468,0
4.61,-1.8272,-4.9745,0.0873,3.5152,12.4000,9.9468,0
4.61,-1.8272,-4.9743,0.0907,2.3152,13.6000,11.1468,0
4.61,-1.8273,-4.9741,0.0940,3.5152,12.4000,9.9468,0
4.61,-1.8273,-4.9739,0.0973,2.3152,13.6000,11.1468,0
4.61,-1.8273,-4.9737,0.1007,3.5152,12.4000,9.9468,0
4.61,-1.8274,-4.9735,0.1040,2.3152,13.6000,11.1468,0
4.61,-1.8274,-4.9733,0.1073,3.5152,12.4000,9.9468,0
4.61,-1.8275,-4.9731,0.1107,2.3152,13.6000,11.1468,0
4.61,-1.8275,-4.9729,0.1140,3.5152,12.4000,9.9468,0
4.61,-1.8276,-4.9727,0.1173,2.3152,13.6000,11.1468,0
4.61,-1.8276,-4.9725,0.1207,3.5152,12.4000,9.9468,0
4.61,-1.8277,-4.9723,0.1240,2.3152,13.6000,11.1468,0
4.61,-1.8277,-4.9722,0.1273,3.5152,12.4000,9.9468,0
4.61,-1.8277,-4.9720,0.1307,2.3152,13.6000,11.1468,0
4.61,-1.8278,-4.9718,0.1340,3.5152,12.4000,9.9468,0
4.61,-1.8278,-4.9716,0.1373,2.3152,13.6000,11.1468,0
4.61,-1.8279,-4.9714,0.1407,3.5152,12.4000,9.9468,0
4.61,-1.8279,-4.9712,0.1440,2.3152,13.6000,11.1468,0
4.61,-1.8280,-4.9710,0.1473,3.5152,12.4000,9.9468,0
4.61,-1.8280,-4.9708,0.1507,2.3152,13.6000,11.1468,0
4.81,-1.7480,-5.0506,0.1540,4.3152,12.4000,9.1468,0
4.81,-1.3480,-5.4177,0.1573,6.3152,14.4000,7.1468,0
5.29,-0.9480,-5.6564,0.1594,7.5152,15.6000,5.1468,0
5.29,-0.5862,-5.8836,0.1583,5.5664,13.6000,3.1468,0
5.29,-0.3977,-5.9971,0.1577,3.7709,11.6000,1.1468,0
5.29,-0.3035,-6.0537,0.1573,1.7709,9.6000,-0.0532,0
5.67,-0.3417,-5.9988,0.1565,0.5709,7.6000,1.1468,0
5.67,-0.7417,-5.6382,0.1532,2.5709,5.6000,-0.8532,0
5.67,-1.1417,-5.4553,0.1500,4.5709,3.6000,-2.8532,0
5.67,-1.5035,-5.3638,0.1478,6.5709,1.6000,-4.8532,0
5.95,-1.5906,-5.4030,0.1475,7.7709,0.4000,-6.0532,0
5.95,-1.1906,-5.7823,0.1506,5.7709,2.4000,-4.0532,0
5.95,-0.7906,-6.0492,0.1526,3.7709,4.4000,-2.0532,0
6.71,-0.5051,-6.1210,0.1529,2.5709,5.6000,-0.8532,0
6.71,-0.6604,-5.9105,0.1496,4.5709,3.6000,-2.8532,0
6.71,-0.7380,-5.8051,0.1468,6.5709,1.6000,-4.0532,0
6.71,-0.7769,-5.7524,0.1454,8.5709,-0.4000,-2.8532,0
6.71,-0.7963,-5.7259,0.1448,10.5709,-2.4000,-4.8532,0
6.71,-0.8061,-5.7125,0.1444,12.5709,-4.4000,-6.0532,0
6.71,-0.8110,-5.7057,0.1443,14.5709,-6.4000,-4.8532,0
6.71,-0.8134,-5.7022,0.1442,16.5709,-8.4000,-6.8532,0
7.31,-0.8946,-5.6852,0.1448,17.7709,-9.6000,-8.0532,0
7.31,-1.2645,-5.6163,0.1482,15.7709,-7.6000,-6.0532,0
7.31,-1.4890,-5.5817,0.1512,13.7709,-5.6000,-4.0532,0
7.31,-1.6013,-5.5643,0.1530,12.0478,-3.6000,-2.0532,0
7.31,-1.6575,-5.5555,0.1539,11.9552,-1.6000,-0.0532,0
7.31,-1.6856,-5.5510,0.1543,13.9552,0.4000,1.9468,0
